video_name,question_id,if_you_can_answer,your_answer,your_answer_2,your_answer_3,reason,scene_context,speaker's_information,facial_expression,motion,tone_of_voice,other_information,reference_time_start,reference_time_end
_CuZqXrhEZI,q1,no,,,,There is no description in the transcript of the woman walking into the room or her feelings.,,,1,1,,,,
_CuZqXrhEZI,q2,yes,a1,,,"There are more exclamation points and questions about him, indicating that she is becoming more emotional.",,,,,,,21,50
_CuZqXrhEZI,q3,yes,a0,,,"He answers her question affirmatively, indicating that he is trying to appease her.",,,,,,,21,50
_CuZqXrhEZI,q4,yes,a0,,,Because the man is worried that his father will find out something.,,,,,,,11,13
_CuZqXrhEZI,q5,no,,,,"The man said that they would marry the woman, but I do not know how he felt at that time.",,,1,,1,,,
_r-SkfDZphk,q1,yes,a1,,,"By repeating the word with a rising intonation at the end, rather than simply repeating it, she is guiding the other party’s Yes/No response.",,,,,,,0,30
_r-SkfDZphk,q2,no,,,,"He is reacting to his new theory, but it is not sufficient to determine the emotion behind his reaction.",,,1,,1,,,
_r-SkfDZphk,q3,yes,a1,,,"The script and answer choices suggest that it is the man in the wheelchair who has developed a new theory, as those around him are inquiring about the theory and describing it as a beautiful theorem.",,,,,,,0,30
_r-SkfDZphk,q4,no,,,,"Since there is no description of him performing such an action, we cannot determine his intention or even confirm if he carried out the action.",,,,1,,,,
_r-SkfDZphk,q5,yes,a1,,,"It is impossible to determine which speaker is which, as there is no external description of each person; however, the theory of the man in the wheelchair is the subject of the story.",,,,,,,0,58
_tBXwqueWcg,q1,no,,,,"We can infer that she is speaking to an unspecified number of people, smiling as she recommends a program to her audience. However, there are no response options that reflect this scenario.",1,,,,,,,
_tBXwqueWcg,q2,yes,a1,,,Many positive words are also present.,,,,,,,14,48
_tBXwqueWcg,q3,yes,a0,,,"She praised the Wellness Training Institute, using phrases like \""your head clears\"" and other positive remarks. At the end, she compared the Wellness Training Institute to other food-related programs, highlighting its superiority.",,,,,,,36,54
_tBXwqueWcg,q4,yes,a0,,,"She comments that the Wellness Training Institute helps people relax, as indicated by her remark that \""your head clears.\""",,,,,,,36,54
_tBXwqueWcg,q5,no,,,,The absence of descriptions of people's attitudes and facial expressions makes it difficult to determine the emotions they were feeling at the time.,,,1,,1,,,
0_8zVtd5VLY,q1,no,,,,"A possible answer would be presenting an idea different from the other speaker's, but this option is not available.",,,,,1,,,
0_8zVtd5VLY,q2,yes,a0,,,"To the person who is asking him to stop working, as they are emphasizing the importance of continuing work.",,,,,,,9,19
0_8zVtd5VLY,q3,no,,,,Because the positional relationship of the speaker cannot be read from the script.,,1,,,,,,
0_8zVtd5VLY,q4,no,,,,Because the positional relationship of the speaker cannot be read from the script.,,1,,,,,,
0_8zVtd5VLY,q5,yes,a0,,,"There is no external description of the speaker, because the two parties claim diametrically opposed views.",,,,,,,5,59
0_8zVtd5VLY,q6,yes,a3,,,"The two have different opinions, and one even interrupts the other to assert his own.",,,,,,,9,30
0_8zVtd5VLY,q7,yes,a2,,,"Neither is taking an aggressive attitude, because the two are each advocating opposite views until the end of the script. Also, because at the end one of them gives up on the agreement and interrupts the discussion.",,,,,,,27,59
0_8zVtd5VLY,q8,no,,,,"Since there is no external description of the speakers, it is impossible to identify which speaker is which.",,1,,,,,,
0B9VJfzqwhM,q1,yes,a0,a2,,"The word \""excited\"" specifies his emotion.",,,,,,,44,49
0B9VJfzqwhM,q2,yes,a2,,,"The word \""excited\"" specifies his emotion.",,,,,,,44,49
0B9VJfzqwhM,q3,no,,,,Because they are not depicted playing with their toys.,1,,,,,,,
0B9VJfzqwhM,q4,yes,a2,,,"Because they agree with the word \""excited\"" used by the man they consider to be the father.",,,,,,,44,54
0B9VJfzqwhM,q5,no,,,,"The word \""sad\"" is used abruptly, when it was previously used as \""excited\"", and there is no explanation for it.",,,1,,1,,,
0g2o-CfakW0,q1,no,,,,"It is not clear which parts are jokes, and if there are jokes, the reactions to them are not described.",,,1,,,,,
0g2o-CfakW0,q2,yes,a1,,,I can presume that the police officer is interviewing the woman.,,,,,,,0,2
0g2o-CfakW0,q3,yes,a0,,,"At first he asks if she is okay, and then he asks her various questions to show that he cares about her.",,,,,,,0,45
0g2o-CfakW0,q4,no,,,,There is no information about how the woman walked out of the room.,,,,1,,,,
0g2o-CfakW0,q5,no,,,,Whether the man actually laughed is not known because the transcript does not describe it.,,,1,1,,,,
0GQ8pgQJShg,q1,no,,,,Because there is no description of movement or emotion that the men are in a catatonic state.,,,1,1,1,,,
0GQ8pgQJShg,q2,no,,,,Because there is no sentence indicating that the woman laughed.,,,1,1,,,,
0GQ8pgQJShg,q3,yes,a0,,,Because they use positive language to express themselves to him.,,,,,,,36,40
0GQ8pgQJShg,q4,no,,,,Because of the lack of any description of the math problem.,1,,,,,,,
0GQ8pgQJShg,q5,no,,,,There is no information about whether the man actually stared at the woman or if she walked away.,,,,1,,,,
0hCihQ5Kep0,q1,no,,,,There is no description of the woman raising the young girl's hand.,1,,,,,,,
0hCihQ5Kep0,q2,no,,,,There is no information about her facial expression.,,,1,,,,,
0hCihQ5Kep0,q4,yes,a0,,,Because the speaker uses a lot of positive expressions when talking about him.,,,,,,,0,20
0hCihQ5Kep0,q5,no,,,,Because the script alone cannot read his tone of voice or mood.,,,1,,1,,,
0hCihQ5Kep0,q6,yes,a3,,,There are positive words used when he/she describes his/her job.,,,,,,,59,60
0hCihQ5Kep0,q7,no,,,,I cannot determine her tone and mood solely from the text.,,,1,,1,,,
0hCihQ5Kep0,q8,no,,,,There is no information about anyone's appearance.,,1,,,,,,
0S5i79_1t8k,q1,yes,a1,,,Because the women are using words to describe the men that are unfavorable.,,,,,,,14,17
0S5i79_1t8k,q2,yes,a1,,,Because she asks twice what happened to him and is concerned about the reason for his sweating.,,,,,,,3,58
0S5i79_1t8k,q3,no,,,,There is no information in the transcript about whether she keeps looking behind her.,,,,1,,,,
0S5i79_1t8k,q4,no,,,,"Because there is no explanation that she raises one finger, we don't know if she actually did.",,,,1,,,,
0S5i79_1t8k,q5,no,,,,The transcript does not provide information on whether he laughs.,,,1,1,,,,
0SuGC2ifkIA,q1,no,,,,"Because there is no description of what the woman is wearing, it is unclear whether she is actually wearing a black dress or which speaker is the woman in the black dress.",,1,,,,,,
0SuGC2ifkIA,q2,no,,,,The transcript provides no information about the woman's appearance.,,1,,,,,,
0SuGC2ifkIA,q3,no,,,,Because the transcript provides no information about the woman's appearance and lacks descriptions of anyone's feelings.,,1,1,,,,,
0SuGC2ifkIA,q4,no,,,,"Because we do not know which speaker is male, we cannot identify the answer.",,1,,,,,,
0SuGC2ifkIA,q5,no,,,,The transcript provides no information about the man's appearance.,,1,,,,,,
0X0H70JBnBM,q1,yes,a0,,,"There is no mention of the man and the woman being neighbors or relatives, and the statement \""last two years\"" indicates that they have known each other for at least two years. There is also no clear statement that their experiences are related to each other.",,,,,,,29,30
0X0H70JBnBM,q2,no,,,,"The content of the conversation before and after the woman said \""stop\"" suggests that she stopped the man because he insisted on being different from her.",1,,,,,,,
0X0H70JBnBM,q3,no,,,,"I can't tell whether the woman is confident or not because I can't tell from her tone of voice or facial expression. Also, the movement in a0 is not clear from the script alone.",,,1,1,1,,,
0X0H70JBnBM,q4,yes,a2,,,"Because the man has assured us that such a thing will not happen. But it is not a1 either, because it is impossible to determine whether the woman is joking or not, or her facial expression or tone of voice, from the script alone.",,,,,,,43,46
