video_name,question_id,if_you_can_answer,your_answer,your_answer_2,your_answer_3,reason,contents_of_conversation,scene_context,speaker's_information,facial_expression,motion,tone_of_voice,other_information,reference_time_start,reference_time_end
_CuZqXrhEZI,q1,yes,a1,,,"She is evidently incensed, crossing her arms and speaking in a raised voice. She also exclaimed,  \”I've had it, I can't take it anymore!\”",1,,,1,1,1,,0,5
_CuZqXrhEZI,q2,yes,a1,,,"When she asked him to hold her, her voice trembled as if she were on the verge of tears.",,,,1,,1,,20,25
_CuZqXrhEZI,q3,yes,a0,,,"He maintained a passive demeanor throughout the conversation and spoke in a calm, rational manner.",1,,,,1,1,,5,59
_CuZqXrhEZI,q4,yes,a0,,,"He said  \”Baby, I don't want things to get messed up,\” implying that they are in some form of a romantic relationship that has not been publicly disclosed.",1,,,,,,,25,28
_CuZqXrhEZI,q5,yes,a2,,,He clearly expressed his desire to marry her and even elaborated on how he envisions proceeding with the marriage.,1,,,,,,,35,59
_r-SkfDZphk,q1,yes,a1,,,The other man stuttered and appeared confused by the unexpected response from the man in the wheelchair.,1,,,1,,1,,29,35
_r-SkfDZphk,q2,yes,a1,a2,,"The man’s repeated use of \“oh\” and his stuttering while searching for words suggest he is somewhat taken aback. However, he does not mention anything that could be construed as rejection.",1,,,,,1,,29,59
_r-SkfDZphk,q3,yes,a1,,,"It is clear that the man in the wheelchair is a renowned scientist, and although his speech is somewhat difficult to understand, they accepted his new theory without argument or interruption.",1,,,,,1,,0,59
_r-SkfDZphk,q4,yes,a1,,,"The man in the wheelchair did not react to the spoon, resulting in an awkward pause before the other man put his spoon down.",,,,1,1,,,3,10
_r-SkfDZphk,q5,yes,a1,,,"Throughout the entire conversation, the other man inquired about the theories from the man in the wheelchair, and the woman helped clarify his thoughts.",1,,,,,,,0,59
_tBXwqueWcg,q1,yes,a3,,,"Although choice A0 is also correct, A3 is more specific and reflects how she enthusiastically discusses the benefits of the program, also shown through her body and hand gestures.",1,,,1,1,1,,0,59
_tBXwqueWcg,q2,yes,a1,,,"The woman speaks fluently and comfortably, clearly showing passion for the program she is enrolled in, offering praise after praise.",1,,,,,1,,0,59
_tBXwqueWcg,q3,yes,a0,,,"She is evidently proud, as demonstrated by her enthusiastic manner of speaking. She elaborates in diverse ways on how the program can benefit individuals.",1,,,1,,1,,0,59
_tBXwqueWcg,q4,yes,a0,,,"She specifically mentioned the terms \""relaxed\"" and \""internally motivated\"" during her conversation.",1,,,,,,,10,20
_tBXwqueWcg,q5,yes,a2,,,"The others are all smiling and nodding, with another woman also participating in the conversation, indicating their enjoyment of her company.",,,,1,1,,,13,20
0_8zVtd5VLY,q1,yes,a2,,,Because the man shared with the other man that he was instructed to put in a commercial break.,1,,,,,,,27,30
0_8zVtd5VLY,q2,yes,a0,,,Because the man facing forwards explicitely stated that the other man is a lazy asshole sucking the country dry.,1,,,,,,,15,19
0_8zVtd5VLY,q3,yes,a0,,,"Because the man on the right appeared visibly irritated, both in his expression and tone.",,,,1,,1,,0,19
0_8zVtd5VLY,q4,yes,a3,,,Because the man on the left evidently puts a conscious effort into remaining free from stress.,1,,,,,1,,0,30
0_8zVtd5VLY,q5,yes,a3,,,Because he keeps interrupting the man in the black shirt to harshly criticize him.,,,,1,,1,,0,30
0_8zVtd5VLY,q6,yes,a2,,,Because one of them keeps interrupting and swearing at the other man.,1,,,1,,1,,0,30
0_8zVtd5VLY,q7,yes,a3,,,"Because the choice exactly describes how their conversation went, based on the content.",1,,,,,,,0,30
0_8zVtd5VLY,q8,yes,a3,,,Because his tone clearly indicates that he is upset and frustrated.,,,,,,1,,0,19
0B9VJfzqwhM,q1,yes,a0,a2,,"The man's tone throughout the video, along with his facial expressions and efforts to excite the kids, clearly indicates his enthusiasm about going to get Mom.",,,,1,,1,,0,59
